restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
springdale,forecast_horizon,2025-02-28,2025-03-10,10566.85536698078,10750.06275254937,11129.522691490645,11218.10293733823,11388.19105808743,11605.205176548403,11840.581243783437,11998.757258213938,12115.762784043874,12632.490746954518,12825.181849206656,583.1815997631319,10,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-11,44872.019611997566,45308.70951376197,46386.59966344691,46638.47834381227,47047.878327260616,47532.2310212698,48025.025909962846,48454.61430056037,48693.73679904152,49755.87881595583,50118.41236064689,1345.6569363720885,11,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-11,7092.273766031728,7361.813511397394,7925.45751938824,8040.488885110885,8232.711221500016,8464.308039736403,8733.499813025312,8961.163733534726,9075.450042001226,9594.005358555962,9809.871498872808,689.1016256823953,11,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-11,13014.698204747428,13230.383296036549,13905.79638988291,14058.451123481967,14313.694080694786,14589.962267541669,14852.870435934097,15053.042294317143,15157.277989540275,15647.326354449324,15770.339353471169,718.4978916721202,11,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-11,11113.135527524855,11304.804988563445,11805.131969853668,11908.747504470099,12108.812782235475,12339.699402343882,12565.48221116143,12710.719657577987,12810.040510997771,13316.763769017518,13501.489523460774,606.6768992228583,11,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-11,11030.902001751703,11183.37576263263,11641.698110089694,11732.762934396018,11930.605347997145,12201.376063160467,12408.593594938646,12576.860663268459,12664.358042890031,13163.048507763335,13422.946366894581,608.9839549117913,11,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-12,46656.5248029817,47197.541756407125,48321.36336516788,48551.06326907313,48994.23661783501,49447.412569785636,49998.279439534075,50392.69776850967,50587.37903297239,51462.506456846895,51824.24530793835,1332.0582343317128,12,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-12,7908.570595224993,8099.484616556227,8605.837679402737,8713.037112413547,8909.046551236028,9117.176316189258,9428.033233996006,9647.633510396252,9756.982560740276,10307.062808792245,10547.655503406422,669.9632001490725,12,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-12,12823.064952880415,13114.048517056548,13913.10828071057,14051.90732256644,14281.479289087489,14585.560623722355,14872.089413348353,15075.890062670733,15167.24652608128,15700.027649042262,15885.496300762803,757.6015355397878,12,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-12,11161.12075728102,11296.609258508524,11794.21933197618,11903.431755178268,12082.247492324237,12328.380208671975,12544.143916583294,12700.577853009905,12820.184274056955,13322.598618458096,13515.614939204917,605.2655043115751,12,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-12,12219.576803733604,12410.642270249558,12891.958306931367,12995.736348346076,13187.52724702472,13445.697774204582,13662.800511385229,13833.736552090599,13931.278944111269,14361.925509870804,14587.086026761257,605.2675311160319,12,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-13,47487.70334316061,47901.16628913114,48831.70278706822,49098.639085303534,49506.82251929458,50041.26069131923,50573.584619798545,51021.5809605566,51250.25812164288,52243.532602831336,52633.357804302876,1356.6921211997071,13,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-13,8625.721229201614,8904.592826900689,9425.219264679909,9521.200829286365,9723.688854017006,10016.125184127835,10306.207398541464,10517.84093253856,10659.532222574266,11145.589674088329,11355.122002616,702.9285105153937,13,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-13,12071.237429649707,12251.680733746065,12945.92227524676,13085.393361619983,13320.055571491746,13627.377564051847,13892.335946665993,14067.826350564577,14199.536304630874,14724.44619991485,14875.755804314014,743.2646489351362,13,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-13,11566.21280639495,11745.229845225384,12196.523950397259,12297.767239078834,12450.119567479056,12660.140944907767,12922.267060056647,13049.82178850241,13178.917973944504,13659.39109713874,13898.88560683027,590.2672050381342,13,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-13,12585.324488574046,12802.238633583434,13282.931576154764,13386.86874637998,13561.231691462785,13782.74156980014,14007.322699895514,14202.058466252052,14310.650098960887,14779.93032801257,14992.025700874934,616.2532828158709,13,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-14,47548.97211448222,47974.47560381227,49155.64699126187,49373.42895827143,49731.02784757796,50236.057510903,50796.4955672357,51128.08097176628,51317.49601273823,52373.05462406239,52624.67099074948,1322.5130861216323,14,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-14,8965.503646822335,9173.769371237879,9788.357089508278,9902.094149093984,10121.459440825949,10413.500871534081,10662.56374264745,10851.159216963104,10940.858517492532,11492.625443610199,11711.545979056295,709.0124860023474,14,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-14,11118.735744917187,11551.462234310158,12284.914977217632,12416.282003765842,12635.073433913956,12936.840808954239,13187.647007261072,13367.687818289387,13499.740837795343,14020.156881944555,14228.59139786516,761.8738423747081,14,,False,2025-02-28_fscoffee
